emoji,name,cos_sim_cad,cos_sim_prompt
🌌,milky_way,0.121935,0.262777
🫪,distorted_face,0.121874,0.173617
🌐,globe_with_meridians,0.121724,0.103574
💛,yellow_heart,0.121598,0.144380
✌🏼,victory_hand_medium-light_skin_tone,0.121459,0.045354
🦸🏼,superhero_medium-light_skin_tone,0.121359,0.176760
🍢,oden,0.121123,0.185977
🦇,bat,0.121096,0.161215
🐍,snake,0.120949,0.174831
🌓,first_quarter_moon,0.120813,0.090987
💆🏽,person_getting_massage_medium_skin_tone,0.120776,0.120756
🤲🏾,palms_up_together_medium-dark_skin_tone,0.120324,0.108060
🥑,avocado,0.120291,0.282949
🐟,fish,0.120248,0.190952
🫳🏽,palm_down_hand_medium_skin_tone,0.120220,0.191507
🎲,game_die,0.120176,0.164449
🍳,cooking,0.120153,0.116991
😄,grinning_face_with_smiling_eyes,0.120152,0.182062
😉,winking_face,0.119955,0.120309
👌,OK_hand,0.119916,0.015633
🧙🏼,mage_medium-light_skin_tone,0.119903,0.191052
👃🏼,nose_medium-light_skin_tone,0.119828,0.123520
🐖,pig,0.119681,0.230903
☃️,snowman,0.119568,0.223320
🦎,lizard,0.119498,0.172425
🧇,waffle,0.119457,0.104200
💑,couple_with_heart,0.119320,0.193979
🧘🏼,person_in_lotus_position_medium-light_skin_tone,0.119130,0.158575
🤲🏽,palms_up_together_medium_skin_tone,0.119005,0.167319
🤘🏾,sign_of_the_horns_medium-dark_skin_tone,0.119003,0.177547
🧜,merperson,0.118773,0.125133
🐱,cat_face,0.118691,0.280698
🐄,cow,0.118598,0.237418
🍭,lollipop,0.118565,0.134946
❤️,red_heart,0.118549,0.217845
🐹,hamster,0.118539,0.223053
🤛🏽,left-facing_fist_medium_skin_tone,0.118526,0.171857
🍘,rice_cracker,0.118433,0.249691
🤽🏽,person_playing_water_polo_medium_skin_tone,0.118396,0.190121
🌬️,wind_face,0.118149,0.186970
♥️,heart_suit,0.118053,0.209115
☄,comet,0.118022,0.122155
🕸️,spider_web,0.117963,0.085314
🥰,smiling_face_with_hearts,0.117915,0.214175
🫙,jar,0.117915,0.148410
👃🏽,nose_medium_skin_tone,0.117912,0.082598
🦁,lion,0.117895,0.166311
🧒🏻,child_light_skin_tone,0.117843,0.148698
🧆,falafel,0.117739,0.087284
🦹🏼,supervillain_medium-light_skin_tone,0.117621,0.094905
🤞🏻,crossed_fingers_light_skin_tone,0.117546,0.086954
🖌️,paintbrush,0.117232,0.204976
🦹🏻‍♂️,man_supervillain_light_skin_tone,0.117119,0.180221
👼🏾,baby_angel_medium-dark_skin_tone,0.117008,0.064441
🌤️,sun_behind_small_cloud,0.116632,0.248604
🫧,bubbles,0.116557,0.041778
👽,alien,0.116496,0.171011
🫃🏻,pregnant_man_light_skin_tone,0.116485,0.085470
⚡,high_voltage,0.116469,0.108882
🍺,beer_mug,0.116436,0.233031
🍜,steaming_bowl,0.116363,0.272874
🧦,socks,0.116358,0.090958
🤞🏾,crossed_fingers_medium-dark_skin_tone,0.116323,0.046162
🎩,top_hat,0.116221,0.146108
🙏,folded_hands,0.116172,0.139453
🧣,scarf,0.116115,0.107483
🛸,flying_saucer,0.116057,0.099412
🎄,Christmas_tree,0.116044,0.263146
🦨,skunk,0.116020,0.095778
🤘🏻,sign_of_the_horns_light_skin_tone,0.115928,0.199157
🦹🏻‍♀️,woman_supervillain_light_skin_tone,0.115856,0.181459
🥕,carrot,0.115848,0.236598
🫴🏻,palm_up_hand_light_skin_tone,0.115794,0.147695
🙂‍↔️,head_shaking_horizontally,0.115678,0.155195
🪨,rock,0.115652,0.175340
🤸🏻,person_cartwheeling_light_skin_tone,0.115614,0.158360
🫷🏽,leftwards_pushing_hand_medium_skin_tone,0.115538,0.170342
🧀,cheese_wedge,0.115166,0.206014
🌀,cyclone,0.115001,0.153465
🍲,pot_of_food,0.114983,0.276586
🥞,pancakes,0.114862,0.171188
👸🏻,princess_light_skin_tone,0.114751,0.100784
😻,smiling_cat_with_heart-eyes,0.114737,0.092049
🐂,ox,0.114683,0.233693
🍷,wine_glass,0.114590,0.269482
🤳🏾,selfie_medium-dark_skin_tone,0.114430,0.128236
🖍️,crayon,0.114380,0.178054
☝🏼,index_pointing_up_medium-light_skin_tone,0.114317,0.002066
🦣,mammoth,0.114294,0.058397
6️⃣,keycap_6,0.114211,0.018799
🧙🏾,mage_medium-dark_skin_tone,0.113941,0.107719
🧘🏽,person_in_lotus_position_medium_skin_tone,0.113920,0.156566
🌘,waning_crescent_moon,0.113735,0.247692
💒,wedding,0.113727,0.149480
🎳,bowling,0.113716,0.101719
🦥,sloth,0.113599,0.065471
👀,eyes,0.113402,-0.009692
🍗,poultry_leg,0.113351,0.165705
🐊,crocodile,0.113249,0.203395
✌️,victory_hand,0.112824,0.015881
🫍,orca,0.112788,0.145660
❤,red_heart,0.112769,0.216865
🫳🏾,palm_down_hand_medium-dark_skin_tone,0.112642,0.110762
🧻,roll_of_paper,0.112509,0.133084
🤛,left-facing_fist,0.112481,0.123653
☂️,umbrella,0.112441,0.136882
🦦,otter,0.112440,0.120831
🐕,dog,0.112388,0.253358
🦸🏽,superhero_medium_skin_tone,0.112365,0.144751
👸🏼,princess_medium-light_skin_tone,0.112331,0.117926
🕊,dove,0.112313,0.112758
🌙,crescent_moon,0.112305,0.258700
🔄,counterclockwise_arrows_button,0.112300,0.100554
🕴🏼,person_in_suit_levitating_medium-light_skin_tone,0.112282,0.046651
🎃,jack-o-lantern,0.112241,0.242562
🦹🏽,supervillain_medium_skin_tone,0.112120,0.074553
🧕🏻,woman_with_headscarf_light_skin_tone,0.112109,0.159734
🤘🏼,sign_of_the_horns_medium-light_skin_tone,0.112108,0.209032
👍🏾,thumbs_up_medium-dark_skin_tone,0.112030,0.155741
🥖,baguette_bread,0.112018,0.224571
🧈,butter,0.111821,0.067156
